artifact,page,render,visual_observation,issue,fix_iteration,status
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,1,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 1 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: KUTUMBA Older Teacher Pack Grades 4–5 run sheet and complete activities C1-W1 • What Is KUTUMBA, and Why Are We Here? V12.2 • Families Growi — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,2,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 2 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Time Block 1:50–2:00 Arrival 2:00–2:10 Opening mantras + welcome 2:10–2:30 All-family launch/orientation 2:30–3:10 Parallel tracks 3:10–3:30 — locked schedule table includes 2:30 tracks and 3:10 reunite — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,3,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 3 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/teacher/OLDER-TEACHER- GUIDE.md • SHA — primary verse reference visible; EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,4,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 4 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: CHALLENGE.md` **O05** `O05-FAMILY-COMPASS.md` One mini-poster per student (or shared wall copy) **O06** `O06-EXIT-TICKET.md` One exit ticket — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,5,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 5 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: 28–35 min — Scenario challenge (O04) + Family Compass (O05) 20. Assign each group one scenario from O04 (rotate if time allows a second). 21 — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,6,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 6 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-older/O01-SB- 1-2-18 — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,7,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 7 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-older/O02- KUTUMBA-I — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,8,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 8 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: KUTUMBA · C1-W1 Older · O02 · p. 2 <div style=""page-break-after: always;""></div> ◆ ◆ ◆ Cards 7–12 ``` ✂ ======================== CUT ======= — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,9,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 9 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Discussion line: Why does “supports temple life” matter for ŚB 1.2.18’s call to regular Bhāgavata service and association? KUTUMBA · Familie — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,10,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 10 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-older/O03- SIX-PURPO — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,11,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 11 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: ┌──────────────────────────────┐ ┌──────────────────────────────┐ │ E3 A parent corrects a │ │ E4 Our family joins │ │ child calmly in a qui — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,12,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 12 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: ✂ ======================== CUT ======================== ✂ ``` KUTUMBA · C1-W1 Older · O03 Examples B · p. 3 <div style=""page-break-after: al — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,13,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 13 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Extension: Each student writes one “our family example” for the purpose they need most. KUTUMBA · Families Growing in Kṛṣṇa Consciousness ·  — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,14,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 14 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-older/O04- SCENARIO- — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,15,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 15 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: ◆ ◆ ◆ 50. What should happen next? ◆ ◆ ◆ 51. Which KUTUMBA principle applies? ◆ ◆ ◆ ◆ ◆ ◆ Scenario 4 — Hard philosophy question · teacher un — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,16,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 16 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: • Good: Honest question; teacher humility. • Missing: A verified source answer in that moment. • Next: Say “I will check the source and retu — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,17,pdf-page+contact-sheet,"Contact sheet contact-sheet-003.png opened for visual review; Opened rendered page 17 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-older/O05- FAMILY-CO — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf,18,pdf-page+contact-sheet,"Contact sheet contact-sheet-003.png opened for visual review; Opened rendered page 18 of KUTUMBA-C1-W1-OLDER-TEACHER-PACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-older/O06- EXIT-TICK — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf,1,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 1 of KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf: KUTUMBA Week 1 — Owner Runbook Friday preparation and Saturday execution C1-W1 • What Is KUTUMBA, and Why Are We Here? V12.2 • Families Grow — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf,2,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 2 of KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf: Time Block 1:50–2:00 Arrival 2:00–2:10 Opening mantras + welcome 2:10–2:30 All-family launch/orientation 2:30–3:10 Parallel tracks 3:10–3:30 — locked schedule table includes 2:30 tracks and 3:10 reunite — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf,3,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 3 of KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/OWNER-RUNBOOK-V12.2.md • SHA-256: 75f — locked schedule table includes 2:30 tracks and 3:10 reunite — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf,4,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 4 of KUTUMBA-C1-W1-OWNER-RUNBOOK-V12.2.pdf: Role Canonical file Main facilitator `teacher/MAIN-FACILITATOR-GUIDE-V12.md` Parent facilitator `teacher/PARENT-GUIDE.md` Younger teacher `t — younger Four Corners printable content visible; parent printable/form fields visible; primary verse reference visible; EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,1,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 1 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: KUTUMBA Parent Track Facilitator guide and complete parent printables C1-W1 • What Is KUTUMBA, and Why Are We Here? V12.2 • Families Growing — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,2,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 2 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Time Block 1:50–2:00 Arrival 2:00–2:10 Opening mantras + welcome 2:10–2:30 All-family launch/orientation 2:30–3:10 Parallel tracks 3:10–3:30 — locked schedule table includes 2:30 tracks and 3:10 reunite — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,3,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 3 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/teacher/PARENT-GUIDE.md • SHA-256: 42 — parent printable/form fields visible; primary verse reference visible; EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,4,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 4 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: ◆ ◆ ◆ 5–10 — ŚB 1.2.18 Source: https://vedabase.io/en/library/sb/1/2/18/ IAST: naṣṭa-prāyeṣv abhadreṣu nityaṁ bhāgavata-sevayā / bhagavaty u — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,5,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 5 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Ask: 13. What is healthy in each family? 14. What is missing? 15. What is one nonjudgmental repair? 16. How can KUTUMBA support rather than  — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,6,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 6 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Parent share line (optional model): “Steady hearing needs both Saturday and a small home practice.” ◆ ◆ ◆ Privacy / rights • No public sādha — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,7,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 7 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-parent/P01- SPIRITUA — parent printable/form fields visible; primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,8,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 8 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-parent/P02- SIX-PURP — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,9,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 9 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: ✂ ======================== CUT ======================== ✂ ┌──────────────────────────────┐ ┌──────────────────────────────┐ │ Correct a chil — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,10,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 10 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: ◆ ◆ ◆ ◆ ◆ ◆ Facilitator match key (presenter only) Example Purpose After dinner: one prayer + three mahā-mantras 1 Home chanting / hearing F — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,11,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 11 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-parent/P03- TWO-FAMI — primary verse reference visible — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,12,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 12 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: KUTUMBA · Families Growing in Kṛṣṇa Consciousness · C1-W1 · P03 · p. 1 — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,13,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 13 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-parent/P04- FAMILY-O — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf,14,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 14 of KUTUMBA-C1-W1-PARENT-TRACK-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/activities/v12_2-parent/P05- FAMILY-S — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,1,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 1 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: KUTUMBA Saturday Print Packet Complete ordered participant and teacher packet C1-W1 • What Is KUTUMBA, and Why Are We Here? V12.2 • Families — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,2,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 2 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Time Block 1:50–2:00 Arrival 2:00–2:10 Opening mantras + welcome 2:10–2:30 All-family launch/orientation 2:30–3:10 Parallel tracks 3:10–3:30 — locked schedule table includes 2:30 tracks and 3:10 reunite — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,3,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 3 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Canonical source: launch/OPENING-MANTRAS-HANDOUT.md • SHA-256: e9487fa3eef1f08c79b8a191932fc70aae9766d2ad3b52a5c47815e3d50e6cb6 KUTUMBA · Fa — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,4,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 4 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Canonical source: launch/KUTUMBA-C1-FAMILY-ORIENTATION.md • SHA-256: fdcd022e2defb3d852f841e68c934e6a4ee0308e1c3ad0f29271a9da454394b3 1. Wel — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,5,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 5 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: 2:00–2:10 Opening mantras / short kīrtana 2:10–2:30 Shared family opening / Prem-kī-Kathā 2:30–3:10 Parallel parent + younger (K–2) + older  — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,6,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 6 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Each week adds a small layer. Week 6 is integration night: ~10 minutes per family to share understanding and application. Rubric dimensions: — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,7,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 7 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Canonical source: launch/FIRST-SIX-MONTHS-CALENDAR.md • SHA-256: 086369a62c4fe23804d6ae161768ff5e0a540dc50e8ad29ac551ac19b33c5688 Saturday 2 — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,8,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 8 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: 2026-11-21 C2-W3 2026-11-28 C2-W4 (Thanksgiving-weekend attendance risk — owner confirm) 2026-12-05 C2-W5 2026-12-12 C2-W6 2026-12-19 Gītā J — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,9,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 9 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Gaura Pūrṇimā — Mar 22, 2027 — do not distort C3 to force-fit; create optional temple attendance plan. Rules • Do not erase core curriculum  — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,10,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 10 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Canonical source: launch/FAMILY-COVENANT.md • SHA-256: 21ddaa010c3f2125fa4cd0efa012a9095606edb443a2eabdc8621c64ee8affa6 Scope: Cycle 1 found — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,11,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 11 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Attendance is not a measure of spiritual worth. Unavoidable absence with communication is normal. Repeated patterns of lateness, absence, or — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,12,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 12 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Canonical source: launch/FAMILY-COVENANT-ACKNOWLEDGEMENT-TEMPLATE.md • SHA-256: 7d11bacbbd4d6ad822e06341ad6ceed969dfbb90ff40476e6fdd9016b47b — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,13,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 13 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: comparison, and public ranking. 7 We will not photograph/record by default without agreement. ____ 8 We understand we may pause or leave res — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf,14,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 14 of KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.2.pdf: Canonical source: 11-weekly-program-library/first-six-months/c1-w1-what-is-kutumba-and-why-are-we-here/teacher/PARENT-GUIDE.md • SHA-256: 42 — parent printable/form fields visible; primary verse reference visible; EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
