requirement_id,phase,requirement,priority,implementation_paths,validation_method,evidence_path,status,iteration,notes
V12-DOCX-001,docx,docx publication item 1,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-002,docx,docx publication item 2,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-003,docx,docx publication item 3,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-004,docx,docx publication item 4,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-005,docx,docx publication item 5,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-006,docx,docx publication item 6,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-007,docx,docx publication item 7,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-008,docx,docx publication item 8,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-009,docx,docx publication item 9,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-010,docx,docx publication item 10,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-011,docx,docx publication item 11,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-012,docx,docx publication item 12,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-DOCX-013,docx,docx publication item 13,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-001,pdf,pdf publication item 1,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-002,pdf,pdf publication item 2,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-003,pdf,pdf publication item 3,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-004,pdf,pdf publication item 4,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-005,pdf,pdf publication item 5,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-006,pdf,pdf publication item 6,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-007,pdf,pdf publication item 7,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-PDF-008,pdf,pdf publication item 8,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-CAL-001,calendar,calendar item 1,MUST,,,,PASS,1,
V12-CAL-002,calendar,calendar item 2,MUST,,,,PASS,1,
V12-CAL-003,calendar,calendar item 3,MUST,,,,PASS,1,
V12-CAL-004,calendar,calendar item 4,MUST,,,,PASS,1,
V12-CAL-005,calendar,calendar item 5,MUST,,,,PASS,1,
V12-CAL-006,calendar,calendar item 6,MUST,,,,PASS,1,
V12-CAL-007,calendar,calendar item 7,MUST,,,,PASS,1,
V12-CAL-008,calendar,calendar item 8,MUST,,,,PASS,1,
V12-CAL-009,calendar,calendar item 9,MUST,,,,PASS,1,
V12-CAL-010,calendar,calendar item 10,MUST,,,,PASS,1,
V12-NAV-001,navigation,navigation item 1,MUST,,,,PASS,1,
V12-NAV-002,navigation,navigation item 2,MUST,,,,PASS,1,
V12-NAV-003,navigation,navigation item 3,MUST,,,,PASS,1,
V12-NAV-004,navigation,navigation item 4,MUST,,,,PASS,1,
V12-EXT-001,external,doctrinal human review,EXTERNAL_OPEN,,,,EXTERNAL_OPEN,0,
V12-EXT-002,external,safeguarding/CPO gates,EXTERNAL_OPEN,,,,EXTERNAL_OPEN,0,
V12-EXT-003,external,temple relationship confirmation,EXTERNAL_OPEN,,,,EXTERNAL_OPEN,0,
V12-EXT-004,external,local Vaisnava calendar tithi confirmation,EXTERNAL_OPEN,,,,EXTERNAL_OPEN,0,
V12-EXT-005,external,BBT commercial/distribution permission if needed,EXTERNAL_OPEN,,,,EXTERNAL_OPEN,0,
V12-EXT-006,external,Gamma post-render human QA,EXTERNAL_OPEN,,,,EXTERNAL_OPEN,0,
