id,requirement,priority,baseline_evidence,implementation_paths,validation_method,validation_evidence,status,iteration,notes
V12.1-F13,"If C3-W5 primary reference remains ŚB 7.5.23–24, embed BOTH verses 23 and 24 completely in source language and IAST with teaching meaning representing both.",MUST,Pack embedded only verse 23,scripts/v12/verse_data.yaml; launch/C3-VERSE-PACK.md,contains iti puṁsārpitā / verse 24 IAST,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F13
V12.1-F14,C3-W6 review chain must explicitly list BG 5.29 · BG 7.7 · BG 4.34 · CC Antya 20.12 · ŚB 7.5.23–24 — replace generic 'holy name'.,MUST,IAST used 'holy name' placeholder,scripts/v12/verse_data.yaml; launch/C3-VERSE-PACK.md; C3-W6 guides/gamma,exact CC Antya 20.12 in chain; no bare 'holy name' as chain slot,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F14
V12.1-F15,Mahā-mantra entry in opening mantra handout must attach a direct authoritative source URL (not vague 'use authorised chanting practice + transcript context above').,MUST,launch/OPENING-MANTRAS-HANDOUT.md vague source line,launch/OPENING-MANTRAS-HANDOUT.md,direct vedabase URL present under mahā-mantra; vague phrase absent,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F15
V12.1-F16,V12.1 requirement ledger must preserve exact requirement text; do not replace requirements with labels such as 'weekly completeness item 2' or 'docx publication item 10'.,MUST,V12 traceability genericized item labels,build-evidence/V12_1-REQUIREMENT-TRACEABILITY.csv,CSV requirement column length/content audit; forbid 'item N' pattern as sole text,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F16 — this ledger
V12.1-F17,"Final artifact acceptance must separate integrity status, semantic status, render status, and visual-inspection status — hash/presence alone is not visual/content acceptance.",MUST,V12 manifest PASS overstated quality,build-evidence/V12_1-FINAL-ARTIFACT-MANIFEST.csv; V12_1-FINAL-LOCAL-ACCEPTANCE.md,manifest columns present and populated,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F17
V12.1-F18,Owner navigation (V12_1-START-HERE.md) must point only to V12.1 corrected artifacts after those artifacts pass — not superseded shallow guides.,MUST,V12-START-HERE pointed at flawed shallow packets,V12_1-START-HERE.md; START-HERE.md link,link resolution + no superseded shallow guide pointers,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F18
V12.1-F19,"Do not mark C2/C3 complete until every week passes the exact gold-standard content-fidelity audit (facilitator, younger, older, research, cases, activities, Gamma, materials).",MUST,V12 claimed same gold standard without depth,build-evidence/V12_1-CONTENT-FIDELITY-AUDIT.md,18-week fidelity table all PASS,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F19
V12.1-DOCX-010,Every rendered final DOCX page is visually inspected and recorded in V12_1-DOCX-PAGE-QA.csv,MUST,No per-page DOCX QA CSV in V12,build-evidence/V12_1-DOCX-PAGE-QA.csv,CSV row count equals DOCX page count; all PASS,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Publication file 05
V12.1-PDF-010,Every rendered final PDF page is visually inspected and recorded in V12_1-PDF-PAGE-QA.csv,MUST,V12 PDF QA was conversion status only,build-evidence/V12_1-PDF-PAGE-QA.csv,CSV row count equals PDF page count; all PASS,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Publication file 05
V12.1-CONTENT-001,A controlling facilitator/teacher guide fails if it says only 'see research file' / 'use week research' / 'run activity tied to theme' / 'use constructed case' / 'craft tied to week' without embedding the actual teaching/instructions.,MUST,Widespread research deferrals in V12 controlling guides,all MAIN-FACILITATOR-GUIDE-V12.md and age-band guides,forbidden phrase semantic validator,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Content fidelity file 03
