file,page,render_png,inspected,issues_found,fix_applied,status,review_iteration
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,11,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-011.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,12,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-012.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,13,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-013.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,14,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-014.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,15,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-015.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,16,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-016.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,17,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-017.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,18,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-018.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,19,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-019.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,20,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-020.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,21,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-021.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,22,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-022.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,23,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-023.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,24,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-024.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,25,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-025.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,26,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-026.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,27,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-027.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,28,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-028.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,29,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-029.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,30,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-030.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,31,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-031.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,32,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-032.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,33,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-033.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,34,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-034.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,35,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-035.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,36,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-036.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,37,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-037.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,38,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-038.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,39,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-039.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,40,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-040.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,10,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-010.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,11,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-011.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,12,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-012.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,13,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-013.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,14,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-014.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,15,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-015.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.pdf,16,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-WEEKLY-PRINT-PACKET-V12.1.docx\page-016.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,10,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-010.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,11,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-011.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,12,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-012.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,13,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-013.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,14,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-014.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.pdf,15,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W2-WEEKLY-PRINT-PACKET-V12.1.docx\page-015.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,10,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-010.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,11,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-011.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,12,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-012.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,13,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-013.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,14,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-014.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.pdf,15,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W3-WEEKLY-PRINT-PACKET-V12.1.docx\page-015.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,10,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-010.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,11,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-011.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,12,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-012.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,13,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-013.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.pdf,14,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W4-WEEKLY-PRINT-PACKET-V12.1.docx\page-014.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.pdf,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W5-WEEKLY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
